PRODUCT,High sulphur fuel oil (tonne),Low sulphur fuel oil (tonne),Light fuel oil (1000 litres),Automotive diesel (litre),Premium unleaded 98 RON (litre),Premium unleaded 95 RON (litre),Regular unleaded gasoline (litre),Premium leaded gasoline (litre),Regular leaded gasoline (litre),Liquefied petroleum gas (litre),Natural gas (MWh),Steam coal (tonne),Coking coal (tonne),Electricity (MWh)
TIME
1978,x,x,35280.00,81.30,x,..,99.00,x,x,..,8852.11,..,x,19600.00
1979,x,x,45280.00,97.30,x,..,121.00,x,x,..,9000.86,..,x,20200.00
1980,x,x,76740.00,102.30,x,..,147.00,x,x,..,12030.95,..,x,26600.00
1981,x,x,82900.00,107.30,x,..,152.00,x,x,..,13089.42,..,x,29100.00
1982,x,x,94090.00,118.30,x,..,164.00,x,x,..,13129.84,..,x,29500.00
1983,x,x,83480.00,108.30,x,..,151.00,x,x,..,13057.61,..,x,29800.00
1984,x,x,76890.00,104.30,x,..,145.00,x,x,..,13028.37,..,x,30000.00
1985,x,x,75240.00,100.30,x,..,140.00,x,x,..,12962.17,..,x,30100.00
1986,x,x,58655.00,84.30,x,..,123.00,x,x,..,12058.47,..,x,28600.00
1987,x,x,45820.00,72.30,x,..,121.00,x,x,..,11221.84,..,x,27200.00
1988,x,x,36775.00,68.30,x,..,116.00,x,x,..,10777.30,..,x,26500.00
1989,x,x,36065.00,66.72,x,..,115.75,x,x,..,11741.19,..,x,25800.00
1990,x,x,46260.00,71.94,x,..,120.75,x,x,..,11778.16,x,x,25600.00
1991,x,x,51272.50,74.77,x,..,123.00,x,x,..,11754.94,x,x,25700.00
1992,x,x,50530.00,72.97,x,..,119.75,x,x,..,11683.58,x,x,25700.00
1993,x,x,50242.50,73.43,x,..,122.25,x,x,..,11513.33,x,x,25600.00
1994,x,x,47637.50,77.06,x,..,117.72,x,x,..,11493.55,x,x,25500.00
1995,x,x,41464.75,73.09,x,..,110.13,x,x,..,11414.36,x,x,25350.00
1996,x,x,44236.00,75.21,x,..,104.70,x,x,..,12106.62,x,x,25040.00
1997,x,x,49780.25,80.09,x,..,104.33,x,x,..,13398.11,x,x,25080.00
1998,x,x,44725.50,77.88,x,..,97.65,x,x,..,12025.80,x,x,24440.00
1999,x,x,42405.50,78.75,x,..,98.30,x,x,..,11717.37,x,x,24210.00
2000,x,x,47194.50,81.27,x,..,103.85,x,x,..,11994.93,x,x,23080.00
2001,x,x,49782.50,84.47,x,..,104.85,x,x,..,12204.13,x,x,22790.00
